         Length       Starting
           1012     4465739369
           1014     2977159579
           1017     3969546105
           1038     4956336199
           1043     4405632167
           1045     2937088111
           1048     3916117481
           1050     2610744987
           1087     4578853915
           1131     4890328815
       Starting         Length
     2610744987           1050
     2937088111           1045
     2977159579           1014
     3916117481           1048
     3969546105           1017
     4405632167           1043
     4465739369           1012
     4578853915           1087
     4890328815           1131
     4956336199           1038
