     Length         Starting
            633     4465739369
            634     2977159579
            636     3969546105
            649     4956336199
            652     4405632167
            653     2937088111
            655     3916117481
            656     2610744987
            679     4578853915
            706     4890328815
    Starting         Length
     2937088111            634
     2977159579            636
     3916117481            649
     3969546105            652
     4405632167            653
     4465739369            655
     4578853915            656
     4890328815            679
     4956336199            706

real	42m13.605s
user	42m14.330s
sys	0m2.430s
